Which EPA Section is This From?,Name of Water Source,Date of Water Sampling,Longitude,Latitude,US EPA Risk Rating,Amount of Aluminum (Al),Exceedance of Aluminum (Al)?,Amount of Antimony (Sb),Exceedance of of Antimony (Sb)?,Amount of Arsenic (As),Exceedance of Arsenic (As)?,Amount of Barium (Ba),Exceedance of Barium (Ba)?,Amount of Beryllium (Be),Exceedance of Beryllium (Be)?,Amount of Cadmium (Cd),Exceedance of Cadmium (Cd)?,Amount of Chromium (Cr),Exceedance of Chromium (Cr)?,Amount of Copper (Cu),Exceedance of Copper (Cu)?,Amount of Iron (Fe),Exceedance of Iron (Fe)?,Amount of Lead (Pb),Exceedance of Lead (Pb)?,Amount of Manganese (Mn),Exceedance of Manganese (Mn)?,Amount of Mercury (Hg),Exceedance of Mercury (Hg)?,Amount of Nickel (Ni),Exceedance of Nickel (Ni)?,Amount of Selenium (Se),Exceedance of Selenium (Se)?,Amount of Silver (Ag),Exceedance of Silver (Ag)?,Amount of Thallium (TI),Exceedance of Thallium (TI)?,Amount of Vanadium (V),Exceedance of Vanadium (V)?,Amount of Zinc (Zn),Exceedance of Zinc (Zn)?,Amount of Alpha Particles,Alpha Particle Exceedance?,Amount of Beta Particles,Beta Particle Exceedance?,Amount of Lead210,Exceedance of Lead210?,Amount of Radium226,Exceedance of of Radium226?,Amount of Radium228,Exceedance of Radium228?,Amount of Thorium228,Exceedance of Thorium228?,Amount of Thorium230,Exceedance of Thorium230?,Amount of Thorium232,Exceedance of Thorium232?,Amount of Uranium234,Exceedance of Uranium234?,Amount of Uranium235,Exceedance of Uranium235?,Amount of Uranium238,Exceedance of Uranium238?
Section 3,Harry Goldtooth Spring,1/25/00,111 14 47.780,36 6 1.505987,Some Risk,"19,000.00","Yes (Above 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),6.8,No (Below 50 micrograms/liter),143,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0.1,No (Below 5 micrograms/liter),5.8,No (Below 100 micrograms/liter),3.5,"No (Below 1,300 micrograms/liter)","11,300.00",Yes (Above 300 micrograms/liter),2.9,No (Below 15 micrograms/liter),239,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),6.8,No (Below 730 micrograms/liter),15.1,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),43.2,No (Below 260 micrograms/liter),29.2,"No (Below 5,000 micrograms/liter)",11.3,No (Below 15 pico-curies/liter),23.4,No (Below 50 pico-curies/liter),-0.8,No (Below 0.047 pico-curies/liter),0.2,No (Below 5 Pico-curies per Liter),0.7,No (Below 5 pico-curies/liter),0.2,No (Below 0.21 pico-curies/liter),0.2,No (Below 1.3 pico-curies/liter),0.2,No (Below 1.5 pico-curies/liter),10.3,No (Below 20 pico-curies/liter),0.2,No (Below 20 pico-curies/liter),8.3,No (Below 20 pico-curies/liter)
Section 2,Boiling Over Springs,5/19/99,109 12 21.059,36 38 57.5310,Some Risk,67.6,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),3.2,No (Below 50 micrograms/liter),137,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),20.7,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),4.1,Yes (Above 2 micrograms/liter),11.6,No (Below 260 micrograms/liter),0,"No (Below 5,000 micrograms/liter)",17,Yes (Above 15 pico-curies/liter),6.32,No (Below 50 pico-curies/liter),0.37,Yes (Above 0.047 pico-curies/liter),0.083,No (Below 5 Pico-curies per Liter),0.636,No (Below 5 pico-curies/liter),0.013,No (Below 0.21 pico-curies/liter),0.012,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),11.3,No (Below 20 pico-curies/liter),0.271,No (Below 20 pico-curies/liter),5.82,No (Below 20 pico-curies/liter)
Section 6,Tank 17M-187,7/2/98,109 44 42.249,35 27 59.4407,More Risk,86.6,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),156,Yes (Above 50 micrograms/liter),2.8,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),2.8,"No (Below 1,300 micrograms/liter)",160,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),9.1,No (Below 50 micrograms/liter),0.009,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),14,No (Below 260 micrograms/liter),26.5,"No (Below 5,000 micrograms/liter)",2.16,No (Below 15 pico-curies/liter),4.76,No (Below 50 pico-curies/liter),1.93,Yes (Above 0.047 pico-curies/liter),0.037,No (Below 5 Pico-curies per Liter),0.563,No (Below 5 pico-curies/liter),0.003,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),-0.001,No (Below 1.5 pico-curies/liter),3.15,No (Below 20 pico-curies/liter),0.05,No (Below 20 pico-curies/liter),0.65,No (Below 20 pico-curies/liter)
Section 2,Cove Mesa Wash Spring,3/30/99,109 13 54.902,36 39 41.8578,Some Risk,286,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),4.2,No (Below 50 micrograms/liter),149,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),1.7,"No (Below 1,300 micrograms/liter)",172,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),8,No (Below 50 micrograms/liter),0.078,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),4,Yes (Above 2 micrograms/liter),26.3,No (Below 260 micrograms/liter),9.8,"No (Below 5,000 micrograms/liter)",8.88,No (Below 15 pico-curies/liter),4.32,No (Below 50 pico-curies/liter),0.6,Yes (Above 0.047 pico-curies/liter),0.107,No (Below 5 Pico-curies per Liter),0.158,No (Below 5 pico-curies/liter),0.01,No (Below 0.21 pico-curies/liter),0.011,No (Below 1.3 pico-curies/liter),0.004,No (Below 1.5 pico-curies/liter),6.43,No (Below 20 pico-curies/liter),0.244,No (Below 20 pico-curies/liter),3.44,No (Below 20 pico-curies/liter)
Section 3,Tohnalea,1/25/00,111 14 36.334,36 0 10.31461,Some Risk,"18,100.00","Yes (Above 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),8.5,No (Below 50 micrograms/liter),159,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0.2,No (Below 5 micrograms/liter),6.2,No (Below 100 micrograms/liter),17.5,"No (Below 1,300 micrograms/liter)","11,300.00",Yes (Above 300 micrograms/liter),11.5,No (Below 15 micrograms/liter),411,Yes (Above 50 micrograms/liter),0.016,No (Below 2 micrograms/liter),7,No (Below 730 micrograms/liter),2.1,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),35.7,No (Below 260 micrograms/liter),55.7,"No (Below 5,000 micrograms/liter)",1.8,No (Below 15 pico-curies/liter),29.6,No (Below 50 pico-curies/liter),6.6,Yes (Above 0.047 pico-curies/liter),0.5,No (Below 5 Pico-curies per Liter),0.9,No (Below 5 pico-curies/liter),0.4,Yes (Above 0.21 pico-curies/liter),1.1,No (Below 1.3 pico-curies/liter),0.4,No (Below 1.5 pico-curies/liter),2.1,No (Below 20 pico-curies/liter),0,No (Below 20 pico-curies/liter),1.4,No (Below 20 pico-curies/liter)
Section 6,Greasewood Spring,7/21/98,109 54 39.886,35 25 31.0188,Some Risk,119,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),11.6,No (Below 50 micrograms/liter),32.4,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",17.8,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),8,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),3.6,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),72.2,No (Below 260 micrograms/liter),4.7,"No (Below 5,000 micrograms/liter)",15.7,Yes (Above 15 pico-curies/liter),9.4,No (Below 50 pico-curies/liter),0.19,Yes (Above 0.047 pico-curies/liter),0.12,No (Below 5 Pico-curies per Liter),0.534,No (Below 5 pico-curies/liter),0.004,No (Below 0.21 pico-curies/liter),0.006,No (Below 1.3 pico-curies/liter),0.005,No (Below 1.5 pico-curies/liter),8.24,No (Below 20 pico-curies/liter),0.151,No (Below 20 pico-curies/liter),4.08,No (Below 20 pico-curies/liter)
Section 6,Tank 17T-517,7/1/98,109 50 50.011,35 36 47.4941,Some Risk,91.5,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),237,Yes (Above 50 micrograms/liter),15.6,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),9.8,"No (Below 1,300 micrograms/liter)",690,Yes (Above 300 micrograms/liter),1.4,No (Below 15 micrograms/liter),10,No (Below 50 micrograms/liter),0.015,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),17.9,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),203,No (Below 260 micrograms/liter),519,"No (Below 5,000 micrograms/liter)",26.8,Yes (Above 15 pico-curies/liter),17.1,No (Below 50 pico-curies/liter),0.7,Yes (Above 0.047 pico-curies/liter),0.049,No (Below 5 Pico-curies per Liter),0.309,No (Below 5 pico-curies/liter),0.025,No (Below 0.21 pico-curies/liter),0.023,No (Below 1.3 pico-curies/liter),-0.001,No (Below 1.5 pico-curies/liter),24.5,Yes (Above 20 pico-curies/liter),0.412,No (Below 20 pico-curies/liter),8.82,No (Below 20 pico-curies/liter)
Section 3,Toh Nee Di Kishi,1/24/00,111 15 18.163,36 1 50.06820,Some Risk,237,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),5.4,No (Below 50 micrograms/liter),13.4,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",184,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),4.8,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),5.7,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),8.4,No (Below 260 micrograms/liter),0,"No (Below 5,000 micrograms/liter)",4.9,No (Below 15 pico-curies/liter),5.4,No (Below 50 pico-curies/liter),2.9,Yes (Above 0.047 pico-curies/liter),0.1,No (Below 5 Pico-curies per Liter),-0.6,No (Below 5 pico-curies/liter),0.3,Yes (Above 0.21 pico-curies/liter),0.3,No (Below 1.3 pico-curies/liter),0.3,No (Below 1.5 pico-curies/liter),7.9,No (Below 20 pico-curies/liter),0.4,No (Below 20 pico-curies/liter),4.9,No (Below 20 pico-curies/liter)
Section 2,Cove Mesa Spring,4/12/99,109 15 44.566,36 38 33.9546,Some Risk,1030,"Yes (Above 1,000 micrograms/liter)",4.4,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),44.2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",470,Yes (Above 300 micrograms/liter),8.9,No (Below 15 micrograms/liter),13.9,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),4.5,No (Below 260 micrograms/liter),41.8,"No (Below 5,000 micrograms/liter)",2.12,No (Below 15 pico-curies/liter),5.12,No (Below 50 pico-curies/liter),1.71,Yes (Above 0.047 pico-curies/liter),0.11,No (Below 5 Pico-curies per Liter),0.759,No (Below 5 pico-curies/liter),0.019,No (Below 0.21 pico-curies/liter),0.052,No (Below 1.3 pico-curies/liter),0.007,No (Below 1.5 pico-curies/liter),0.21,No (Below 20 pico-curies/liter),-0.003,No (Below 20 pico-curies/liter),0.39,No (Below 20 pico-curies/liter)
Section 2,Alcove Canyon Springs,3/30/99,109 17 4.0937,36 38 42.1224,More Risk,474,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),8,No (Below 50 micrograms/liter),210,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",192,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),9.6,No (Below 50 micrograms/liter),0.078,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0.9,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),78.6,No (Below 260 micrograms/liter),3.9,"No (Below 5,000 micrograms/liter)",100,Yes (Above 15 pico-curies/liter),47.5,No (Below 50 pico-curies/liter),0.49,Yes (Above 0.047 pico-curies/liter),0.344,No (Below 5 Pico-curies per Liter),1.09,No (Below 5 pico-curies/liter),0.123,No (Below 0.21 pico-curies/liter),0.129,No (Below 1.3 pico-curies/liter),0.066,No (Below 1.5 pico-curies/liter),63.2,Yes (Above 20 pico-curies/liter),2.54,No (Below 20 pico-curies/liter),59.6,Yes (Above 20 pico-curies/liter)
Section 6,Sheep Dip Spring,7/2/98,109 51 31.832,35 31 1.70641,More Risk,108,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),21.2,No (Below 50 micrograms/liter),14.1,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",175,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),651,Yes (Above 50 micrograms/liter),0.02,No (Below 2 micrograms/liter),4,No (Below 730 micrograms/liter),149,Yes (Above 50 micrograms/liter),0,No (Below 100 micrograms/liter),3.3,Yes (Above 2 micrograms/liter),25.4,No (Below 260 micrograms/liter),5.1,"No (Below 5,000 micrograms/liter)",140,Yes (Above 15 pico-curies/liter),155,Yes (Above 50 pico-curies/liter),0.78,Yes (Above 0.047 pico-curies/liter),0.047,No (Below 5 Pico-curies per Liter),0.413,No (Below 5 pico-curies/liter),-0.034,No (Below 0.21 pico-curies/liter),0.063,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),102,Yes (Above 20 pico-curies/liter),2.83,No (Below 20 pico-curies/liter),85.9,Yes (Above 20 pico-curies/liter)
Section 2,Cove Chapter House,3/24/99,109 11 26.203,36 35 3.72721,Some Risk,23,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),4.1,No (Below 50 micrograms/liter),144,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),15.7,"No (Below 1,300 micrograms/liter)",106,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),6.4,No (Below 50 micrograms/liter),0.074,No (Below 2 micrograms/liter),1.3,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),1.5,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0.6,No (Below 260 micrograms/liter),54.1,"No (Below 5,000 micrograms/liter)",1.29,No (Below 15 pico-curies/liter),6.45,No (Below 50 pico-curies/liter),0.5,Yes (Above 0.047 pico-curies/liter),1.46,No (Below 5 Pico-curies per Liter),0.591,No (Below 5 pico-curies/liter),0.028,No (Below 0.21 pico-curies/liter),0.007,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),0.09,No (Below 20 pico-curies/liter),-0.027,No (Below 20 pico-curies/liter),-0.03,No (Below 20 pico-curies/liter)
Section 3,Fivemile Wash Spring,1/20/00,111 19 24.759,35 58 31.9068,Some Risk,479,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),8.9,No (Below 50 micrograms/liter),207,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0.1,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",227,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),32.8,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),9.8,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),19,No (Below 260 micrograms/liter),0,"No (Below 5,000 micrograms/liter)",16.7,Yes (Above 15 pico-curies/liter),45.7,No (Below 50 pico-curies/liter),-1.1,No (Below 0.047 pico-curies/liter),0.2,No (Below 5 Pico-curies per Liter),3.6,No (Below 5 pico-curies/liter),0.4,Yes (Above 0.21 pico-curies/liter),1.3,Yes (Above 1.3 pico-curies/liter),0.4,No (Below 1.5 pico-curies/liter),17.7,No (Below 20 pico-curies/liter),0.4,No (Below 20 pico-curies/liter),10.3,No (Below 20 pico-curies/liter)
Section 6,Tank 17T-540,7/1/98,109 57 41.546,35 31 52.3344,More Risk,104,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),49.7,No (Below 50 micrograms/liter),0,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),2.3,"No (Below 1,300 micrograms/liter)",206,No (Below 300 micrograms/liter),4.7,No (Below 15 micrograms/liter),2.5,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),1.5,No (Below 260 micrograms/liter),26.3,"No (Below 5,000 micrograms/liter)",2.47,No (Below 15 pico-curies/liter),4.82,No (Below 50 pico-curies/liter),1.66,Yes (Above 0.047 pico-curies/liter),0.032,No (Below 5 Pico-curies per Liter),0.19,No (Below 5 pico-curies/liter),0.023,No (Below 0.21 pico-curies/liter),0.004,No (Below 1.3 pico-curies/liter),-0.001,No (Below 1.5 pico-curies/liter),0.2,No (Below 20 pico-curies/liter),-0.011,No (Below 20 pico-curies/liter),0.08,No (Below 20 pico-curies/liter)
Section 2,P.H.S. 4-28-59,3/29/99,109 12 36.632,36 34 45.9581,Some Risk,34.2,"No (Below 1,000 micrograms/liter)",6.5,Yes (Above 6 micrograms/liter),5.8,No (Below 50 micrograms/liter),55.2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0.9,"No (Below 1,300 micrograms/liter)",22.5,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),3.7,No (Below 50 micrograms/liter),0.083,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),34.3,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),22.9,No (Below 260 micrograms/liter),32.5,"No (Below 5,000 micrograms/liter)",26.1,Yes (Above 15 pico-curies/liter),8.7,No (Below 50 pico-curies/liter),0.4,Yes (Above 0.047 pico-curies/liter),0.034,No (Below 5 Pico-curies per Liter),0.837,No (Below 5 pico-curies/liter),0.001,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),14.2,No (Below 20 pico-curies/liter),0.47,No (Below 20 pico-curies/liter),8.73,No (Below 20 pico-curies/liter)
Section 2,Cottonwood Spring,3/24/99,109 12 34.420,36 34 42.7230,Some Risk,32.8,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),5.1,No (Below 50 micrograms/liter),92.4,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",43.5,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0.8,No (Below 50 micrograms/liter),0.074,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),21.7,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),19.5,No (Below 260 micrograms/liter),4.6,"No (Below 5,000 micrograms/liter)",7.46,No (Below 15 pico-curies/liter),7.04,No (Below 50 pico-curies/liter),0.45,Yes (Above 0.047 pico-curies/liter),0.032,No (Below 5 Pico-curies per Liter),0.668,No (Below 5 pico-curies/liter),0.015,No (Below 0.21 pico-curies/liter),-0.001,No (Below 1.3 pico-curies/liter),0.003,No (Below 1.5 pico-curies/liter),8.66,No (Below 20 pico-curies/liter),0.237,No (Below 20 pico-curies/liter),5.59,No (Below 20 pico-curies/liter)
Section 6,Tank 17T-518,7/1/98,109 57 45.800,35 36 29.2086,More Risk,115,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),77.5,Yes (Above 50 micrograms/liter),32.7,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",201,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),5,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),41.4,No (Below 260 micrograms/liter),328,"No (Below 5,000 micrograms/liter)",11.1,No (Below 15 pico-curies/liter),4.62,No (Below 50 pico-curies/liter),0.83,Yes (Above 0.047 pico-curies/liter),0.094,No (Below 5 Pico-curies per Liter),0.308,No (Below 5 pico-curies/liter),0.003,No (Below 0.21 pico-curies/liter),0.005,No (Below 1.3 pico-curies/liter),0.004,No (Below 1.5 pico-curies/liter),7.47,No (Below 20 pico-curies/liter),0.04,No (Below 20 pico-curies/liter),1.52,No (Below 20 pico-curies/liter)
Section 3,3-K-328,1/19/00,111 2 2.33339,35 50 29.2373,Some Risk,31,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),32.2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",238,No (Below 300 micrograms/liter),0.7,No (Below 15 micrograms/liter),12.9,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),1.6,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),229,"No (Below 5,000 micrograms/liter)",1.4,No (Below 15 pico-curies/liter),8.4,No (Below 50 pico-curies/liter),3.4,Yes (Above 0.047 pico-curies/liter),0.6,No (Below 5 Pico-curies per Liter),0.7,No (Below 5 pico-curies/liter),0.3,Yes (Above 0.21 pico-curies/liter),0.3,No (Below 1.3 pico-curies/liter),0.3,No (Below 1.5 pico-curies/liter),1.8,No (Below 20 pico-curies/liter),0.4,No (Below 20 pico-curies/liter),1.6,No (Below 20 pico-curies/liter)
Section 6,White Cone Chapter House,4/14/99,110 4 48.2999,35 33 41.6490,Some Risk,29.4,"No (Below 1,000 micrograms/liter)",2,No (Below 6 micrograms/liter),2.4,No (Below 50 micrograms/liter),1080,"Yes (Above 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),10,"No (Below 1,300 micrograms/liter)",132,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),29.8,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),3.2,Yes (Above 2 micrograms/liter),0,No (Below 260 micrograms/liter),21.7,"No (Below 5,000 micrograms/liter)",0.76,No (Below 15 pico-curies/liter),5.47,No (Below 50 pico-curies/liter),0.29,Yes (Above 0.047 pico-curies/liter),0.055,No (Below 5 Pico-curies per Liter),0.655,No (Below 5 pico-curies/liter),0.003,No (Below 0.21 pico-curies/liter),0.004,No (Below 1.3 pico-curies/liter),-0.001,No (Below 1.5 pico-curies/liter),-0.01,No (Below 20 pico-curies/liter),-0.007,No (Below 20 pico-curies/liter),0.04,No (Below 20 pico-curies/liter)
